state,region
AK,West
AR,South
AZ,West
CA,West
CO,West
DC,South
DT,West
FL,South
IA,Midwest
ID,West
IN,Midwest
KS,Midwest
MN,Midwest
MO,Midwest
MT,West
NC,South
ND,West
NE,Midwest
NM,West
NV,West
OH,Midwest
OK,West
OR,West
SC,South
TX,South
UT,West
WA,West
WI,Midwest
WV,South
WY,West
KY,South
NY,New York
IL,Midwest
MA,New England
VA,South
