state,region
AK,West
AR,South
AZ,West
CA,West
CO,West
DC,South
SD,West
FL,South
IA,Midwest
ID,West
IN,Midwest
KS,West
MN,Midwest
MO,Midwest
MT,West
NC,South
ND,West
NE,West
NM,West
NV,West
OH,Midwest
OK,West
OR,West
SC,South
TX,South
UT,West
WA,West
WI,Midwest
WV,South
WY,West
KY,Midwest
NY,New York
IL,Midwest
MA,New England
VA,South
GA,South
ME,New England
